11,Garry Zebra Male
11,James Zebra Male
11,Stevie Zebra Male
11,114,
12,121,
12,122,
12,123,
12,124,
13,131,
13,132,
13,133,
13,134,
14,141,
14,142,
14,143,
14,144,
21,211,
21,212,
21,213,
21,214,
22,221,
22,222,
22,223,
22,224,
23,231,
23,232,
23,233,
23,234,
24,241,
24,242,
24,243,
24,244,
31,311,
31,312,
31,313,
31,314,
32,321,
32,322,
32,323,
32,324,
33,331,
33,332,
33,333,
33,334,
34,341,
34,342,
34,343,
34,344,
41,411,
41,412,
41,413,
41,414,
42,421,
42,422,
42,423,
42,424,
43,431,
43,432,
43,433,
43,434,
44,441,
44,442,
44,443,
44,444,
51,511,
51,512,
51,513,
51,514,
52,521,
52,522,
52,523,
52,524,
53,531,
53,532,
53,533,
53,534,
54,541,
54,542,
54,543,
54,544,
61,611,
61,612,
61,613,
61,614,
62,621,
62,622,
62,623,
62,624,
63,631,
63,632,
63,633,
63,634,
64,641,
64,642,
64,643,
64,644,
71,711,
71,712,
71,713,
71,714,
72,721,
72,722,
72,723,
72,724,
73,731,
73,732,
73,733,
73,734,
74,741,
74,742,
74,743,
74,744,
81,811,
81,812,
81,813,
81,814,
82,821,
82,822,
82,823,
82,824,
83,831,
83,832,
83,833,
83,834,
84,841,
84,842,
84,843,
84,844,
